,Id,Name,Type,UrlName
0,54aae292e7798909064f1575,Secura Dual Cestra,Weapon,secura_dual_cestra
1,54ca39abe7798915c1c11e10,Creeping Bullseye,Mod,creeping_bullseye
2,54d4c727e77989281cc7d753,Mutalist Alad V Assassinate (Key),Key,mutalist_alad_v_assassinate_key
3,54e0c9eee7798903744178b0,Irradiating Disarm,Mod,irradiating_disarm
4,54e644ffe779897594fa68cf,Antimatter Absorb,Mod,antimatter_absorb
5,551085aee77989729e1416d0,Arcane Barrier,Arcane,arcane_barrier
6,551085c9e7798972b4a2b206,Arcane Ice,Arcane,arcane_ice
7,55e797d2e7798924849dd9f0,Telos Boltor,Weapon,telos_boltor
8,56783f24cbfa8f0432dd899c,Frost Prime Set,Warframe,frost_prime_set
9,56a7b2a51133f656cb085d93,Catalyzer Link,Mod,catalyzer_link
10,56a7b2bb1133f656cb085d98,Targeting Subsystem,Mod,targeting_subsystem
11,56aba2f78d6d183da42403c0,Strun Wraith Receiver,Weapon,strun_wraith_receiver
12,56b656d1ef0390c7e4006381,Tectonic Fracture,Mod,tectonic_fracture
13,57222f1c92cc365777a61c0f,Mantis Set,Blueprint,mantis_set
14,5729bd02cb59ed5a9b484e8c,Acid Shells,Mod,acid_shells
15,5729bd0acb59ed5a9b484e8e,Nightwatch Napalm,Mod,nightwatch_napalm
16,5783909ad9b6753790c89e82,Quasar Drill,Mod,quasar_drill
17,5783909ed9b6753790c89e83,Comet Blast,Mod,comet_blast
18,578390a2d9b6753790c89e84,Nebula Bore,Mod,nebula_bore
19,5783bee2d9b6753790c89e87,Kaszas Blade,Weapon,kaszas_blade
20,5783bf0ad9b6753790c89e89,Velocitus Receiver,Weapon,velocitus_receiver
21,5783bf15d9b6753790c89e8b,Fluctus Barrel,Weapon,fluctus_barrel
22,5783bf1ad9b6753790c89e8c,Fluctus Limbs,Weapon,fluctus_limbs
23,5783bf20d9b6753790c89e8d,Fluctus Stock,Weapon,fluctus_stock
24,5783bf27d9b6753790c89e8e,Decurion Barrel,Weapon,decurion_barrel
25,59a48b625cd9938cfede703c,Hydroid Prime Set,Warframe,hydroid_prime_set
26,595567c18e34b5ed3cb3d9bd,Cleanse Orokin,Mod,cleanse_corrupted
27,598b06b4ab6b61be6fec0fb4,Kappa Beacon,Misc.,kappa_beacon
28,59eba86952f90ed715e14158,Star Crimzian,Gem,star_crimzian
29,5a04750c6c4655012038ddcb,Virtuos Strike,Arcane,virtuos_strike
30,5a0ef3fb10bc40007cce1c89,Hunter Adrenaline,Mod,hunter_adrenaline
31,5a5a121bdd7913052b3a0967,Viper Wraith,Weapon,viper_wraith
32,5a9e8667b2b6a800db67f122,Orokin Derelict Plaza Scene,Misc.,orokin_derelict_plaza_scene
33,5a9e8669b2b6a800db67f123,Grineer Shipyards Manufactory Scene,Misc.,grineer_shipyards_manufactory_scene
34,5a9e8669b2b6a800db67f124,Infested Ship Bridge Scene,Misc.,infested_ship_bridge_scene
35,5a9e866bb2b6a800db67f125,Lua Nursery Scene,Misc.,lua_nursery_scene
36,5a9e8670b2b6a800db67f126,Corpus Gas City Conduit Scene,Misc.,corpus_gas_city_conduit_scene
37,5a9e8670b2b6a800db67f127,Grineer Settlement Reactor Scene,Misc.,grineer_settlement_reactor_scene
38,5a9e8677b2b6a800db67f128,Corpus Ice Planet Wreckage Scene,Misc.,corpus_ice_planet_wreckage_scene
39,5a9ed835b2b6a80133127c2c,Eidolon Madurai Lens,Lens,eidolon_madurai_lens
40,5a9ed835b2b6a80133127c2e,Eidolon Vazarin Lens,Lens,eidolon_vazarin_lens
41,5a9ed835b2b6a80133127c2f,Eidolon Unairu Lens,Lens,eidolon_unairu_lens
42,5ab1570db2b6a8044d5137c3,Zephyr Prime Chassis Blueprint,Warframe,zephyr_prime_chassis_blueprint
43,5bd05ad03ffcc700eb7cfcfd,Mycona Colony Scene,Misc.,mycona_colony_scene
44,5bf54b483ffcc7066e7eb856,Pax Soar,Arcane,pax_soar
45,5c196fad96037800ddadac14,Redeemer Prime Blade,Weapon,redeemer_prime_blade
46,5c196fb096037800ddadac18,Akjagara Prime Receiver,Weapon,akjagara_prime_receiver
47,5c1e62d3817a0d0092fb1608,Kitgun Riven Mod (Veiled),Riven,kitgun_riven_mod_(veiled)
48,5c3892672cc6ce00f238139d,Spectrosiphon,Mod,spectrosiphon
49,5c7849e22cc6ce090383e266,Wolf Sledge Head,Weapon,wolf_sledge_head
50,5c7849e22cc6ce090383e267,Wolf Sledge Set,Weapon,wolf_sledge_set
51,5c7849e32cc6ce090383e26d,Orb Vallis Scene,Misc.,orb_vallis_scene
52,5d21ce43f4604c012d1e0c0e,Zhuge Prime Grip,Weapon,zhuge_prime_grip
53,54a74454e779892d5e515652,Freeze Force,Mod,freeze_force
54,54a74454e779892d5e515656,Swirling Tiger,Mod,swirling_tiger
55,54a74455e779892d5e51568d,Quick Thinking,Mod,quick_thinking
56,54ca431ce779891a1adb4901,Wyrm Prime Blueprint,Blueprint,wyrm_prime_blueprint
57,59f38f558c202c007335ba66,Spring-Loaded Blade,Mod,spring_loaded_blade
58,59f38f568c202c007335ba67,Kinetic Diversion,Mod,kinetic_diversion
59,54a74454e779892d5e5155d4,Power Throw,Mod,power_throw
60,59f38f588c202c007335ba68,Fateful Truth,Mod,fateful_truth
61,54a74454e779892d5e51558e,Malignant Force,Mod,malignant_force
62,54a74454e779892d5e5155d8,Superior Defenses,Mod,superior_defenses
63,54a74454e779892d5e5155a3,Energy Inversion,Mod,energy_inversion
64,54a74454e779892d5e5155a6,Shattering Justice,Mod,shattering_justice
65,54a74454e779892d5e515665,Fast Hands,Mod,fast_hands
66,54a74454e779892d5e515600,Polar Magazine,Mod,polar_magazine
67,54a74454e779892d5e515605,Rifle Amp,Mod,rifle_amp
68,54a74454e779892d5e515667,Spare Parts,Mod,spare_parts
69,54a74454e779892d5e515608,No Return,Mod,no_return
70,54a74454e779892d5e515668,Vaporize,Mod,vaporize
71,54a74454e779892d5e51560c,Vicious Spread,Mod,vicious_spread
72,54a74454e779892d5e515624,Enemy Sense,Mod,enemy_sense
73,54a74454e779892d5e5155cc,Blind Rage,Mod,blind_rage
74,54a74454e779892d5e5155d1,Rifle Ammo Mutation,Mod,rifle_ammo_mutation
75,5740c16d9d238d4a03d28515,Imperator Vandal Barrel,Weapon,imperator_vandal_barrel
76,54a73e65e779893a797fff50,Orthos Prime Blade,Weapon,orthos_prime_blade
77,54a73e65e779893a797fff74,Loki Prime Systems Blueprint,Warframe,loki_prime_systems_blueprint
78,5667576ddb7c7a568a8d45c2,Naramon Lens,Lens,naramon_lens
79,566759c8db7c7a568a8d45c5,Coaction Drift,Mod,coaction_drift
80,54a74454e779892d5e5155de,Shotgun Savvy,Mod,shotgun_savvy
81,54a74454e779892d5e5155e5,Volcanic Edge,Mod,volcanic_edge
82,5527a279e77989205639861f,Odonata Prime Harness Blueprint,Blueprint,odonata_prime_harness_blueprint
83,567af35fcbfa8f05d076a520,Secondary Wind,Mod,secondary_wind
84,5527a288e77989205f31e525,Odonata Prime Systems Blueprint,Blueprint,odonata_prime_systems_blueprint
85,54a74454e779892d5e5155f4,Point Strike,Mod,point_strike
86,567af35fcbfa8f05d076a521,Soaring Strike,Mod,soaring_strike
87,554d3af4e77989420d3de2a2,Pummel,Mod,pummel
88,5783bf10d9b6753790c89e8a,Velocitus Stock,Weapon,velocitus_stock
89,578d33bf34003bbbb9e20924,Rathbone Handle,Weapon,rathbone_handle
90,578d33bf34003bbbb9e20925,Rathbone Head,Weapon,rathbone_head
91,57962daf19aaba0b00a9b1b0,Latron Wraith Barrel,Weapon,latron_wraith_barrel
92,54a74455e779892d5e5156c7,Heated Charge,Mod,heated_charge
93,54a74455e779892d5e5156cf,System Reroute,Mod,system_reroute
94,591844575c170664fbd37eb5,Gorgon Wraith Receiver,Weapon,gorgon_wraith_receiver
95,5615432bb66f8371035bfa23,Calculated Shot,Mod,calculated_shot
96,54a74454e779892d5e5155f9,Vigor,Mod,vigor
97,54a73e65e779893a797fff47,Hikou Prime Pouch,Weapon,hikou_prime_pouch
98,54a73e65e779893a797fff59,Reaper Prime Blueprint,Weapon,reaper_prime_blueprint
99,54aaf153e779892a1bb42966,Arcane Thrak Helmet,Skin,arcane_thrak_helmet
100,54c68686e7798913c1042b4b,Primed Point Blank,Mod,primed_point_blank
101,56dac5945cc639de0a45c523,Power Of Three,Mod,power_of_three
